Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
Vampire de l'Ombre,Monstre,[ Zombie / Effet ],,"Lorsque cette carte est invoquée normalement : vous pouvez invoquer spécialement 1 monstre ""Vampire"" TENEBRES (""Vampire de l'Ombre"" exclu) depuis votre main ou Deck, mais si vous le faites, seul le monstre peut attaquer le reste de ce tour. Cette carte ne peut pas être utilisée comme Matériel XYZ pour une invocation XYZ, sauf pour l'invocation XYZ d'un monstre TENEBRES.",5.0,Ténèbres,2000,0,"0,5"
Vampire Aspirante,Monstre,[ Zombie / Lien / Effet ],,"2 monstres Zombie
 Si vous allez Sacrifier un ou plusieurs monstres pour une Invocation Sacrifice, vous pouvez Sacrifier un ou plusieurs monstres Zombie contrôlés par votre adversaire, même si vous ne les contrôlez pas. Vous ne pouvez utiliser chacun des effets suivants de ""Vampire Aspirante"" qu'une fois par tour.
 ?Vous pouvez cibler 1 monstre dans le Cimetière de votre adversaire ; Invoquez-le Spécialement sur le Terrain de votre adversaire en Position de Défense, mais il devient un monstre Zombie.
 ?Si un ou plusieurs monstres Zombie sont Invoqués Spécialement depuis le Cimetière : piochez 1 carte.",13.0,Ténèbres,1600,LINK-2,1
Vampire Genesis,Monstre,[ Zombie / Effet ],,"Ni Invocable Normalement ni Posable, Uniquement Invocable Spécialement(depuis votre main)en bannissant 1 ""Seigneur Vampire"" que vous contrôlez et non Invocable Spécialement autrement. une fois par tour : vous pouvez défausser 1 monstre de Type Zombie au Cimetière,puis ciblez 1 monstre de Type Zombie dans votre Cimetière d'un Niveau inférieur à celui du monstre de Type Zombie défaussé :Invoquez Spécialement la cible.",8.0,Ténèbres,3000,2100,0
Vampire Fascinatrice,Monstre,[ Zombie / Lien / Effet ],,"2+ monstres (un monstre Zombie inclus)
 Si cette carte est Invoquée par Lien : vous pouvez cibler 1 monstre dans le Cimetière de votre adversaire ; Invoquez-le Spécialement sur votre Terrain en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Zombie exclus) le reste de ce tour. Vous pouvez Sacrifier 1 monstre ""Vampire"", puis ciblez 1 monstre contrôlé par votre adversaire ; jusqu'à la End Phase, prenez-en le contrôle. Vous ne pouvez utiliser chaque effet de ""Vampire Fascinatrice"" qu'une fois par tour.",,Ténèbres,2400,LINK-3,"1,5"
Vampire Voivode,Monstre,[ Zombie / Effet ],,"Si cette carte est Invoquée Normalement : vous pouvez cibler max. 2 monstres dans le Cimetière de votre adversaire ; Invoquez Spécialement ces monstres sur votre Terrain en Position de Défense, mais leurs effets sont annulés. Lorsqu'un effet de monstre est activé, tant qu'un ou plusieurs monstres du même nom que celui-ci sont dans les Cimetières (Effet Rapide) : vous pouvez annuler l'activation. Si un ou plusieurs monstres sont Invoqués Spécialement depuis le Cimetière de votre adversaire : vous pouvez Sacrifier 2 monstres ; Invoquez Spécialement cette carte depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Vampire Voivode"" qu'une fois par tour.",8.0,Ténèbres,2800,2100,0
Van'Dalgyon le Seigneur du Dragon des Ténèbres,Monstre,[ Dragon / Effet ],,"Lorsqu'une Carte Contre-Piège que vous contrôlez annule l'activation d'une ou plusieurs cartes ou effets de votre adversaire, vous pouvez Invoquer Spécialement cette carte depuis votre main. Ensuite, activez les effets correspondant au type de carte annulé : 
 •Magie : Infligez 1500 points de dommages à votre adversaire.
 •Piège : Sélectionnez et détruisez 1 carte contrôlée par votre adversaire.
 •Effet de Monstre : Sélectionnez 1 monstre de votre Cimetière et Invoquez le Spécialement.",8.0,Ténèbres,2800,2500,0
"Vanadis, Ascendant Nordique",Monstre,[ Elfe / Syntoniseur / Effet ],,"Vous pouvez échanger cette carte contre 1 monstre Syntoniseur ""Nordique"" pour une Invocation Synchro. Si cette carte est utilisée en tant que Monstre-Matériel de Synchro, tous les autres Monstres-Matériels de Synchro doivent être des monstres ""Nordique"". Une fois par tour, vous pouvez envoyer 1 monstre ""Nordique"" depuis votre Deck au Cimetière pour changer le Niveau de cette carte avec celui du monstre envoyé au Cimetière, jusqu'à la End Phase.",4.0,Ténèbres,1200,400,"1,5"
Vanité Gishki,Monstre,[ Aqua / Effet ],,"Durant votre Main Phase : vous pouvez défausser cette carte ; ce tour, votre adversaire ne peut pas activer de Magies, Pièges, effets de Magie/Piège ou effets de Cartes Monstre lorsqu'un monstre ""Gishki"" est Invoqué Rituellement ou lorsqu'une Carte Magie Rituelle ""Gishki"" est activée.",2.0,Eau,1000,800,"0,6"
Vapeur Synchronique,Monstre,[ Machine / Syntoniseur / Effet ],,"Durant la Main Phase de votre adversaire, vous pouvez : immédiatement après la résolution de cet effet, Invoquez par Synchronisation en utilisant cette carte que vous contrôlez (ceci est un Effet Rapide).",3.0,Eau,600,800,1
"Vapoguérisseur, Héros Elémentaire",Monstre,[ Guerrier / Fusion / Effet ],,"""Burstinatrix, Héros Elémentaire"" + ""Bubbleman, Héros Elémentaire""
 
 Ce monstre ne peut pas être Invoqué Spécialement excepté par une Invocation Fusion. Lorsque cette carte détruit un monstre à l'issue d'un combat et l'envoie au Cimetière, augmentez vos Life Points de l'ATK du monstre détruit.",5.0,Eau,1800,1000,1
"Vapor, Héros Masqué",Monstre,[ Guerrier / Fusion / Effet ],,"Doit être Invoqué Spécialement avec ""Changement de Masque"" et non Invocable Spécialement autrement. Cette carte ne peut pas être détruite par des effets de carte.",6.0,Eau,2400,2000,"0,75"
Vaskii Reptilia,Monstre,[ Reptile / Effet ],,"Cette carte ne peut pas être Invoquée Normalement ou Posée. Cette carte ne peut pas être Invoquée Spécialement excepté en Sacrifiant 2 monstres face recto avec 0 ATK depuis le Terrain. Une fois par tour, vous pouvez sélectionner et détruire 1 monstre face recto contrôlé par votre adversaire. Il ne peut y avoir qu'1 seul ""Reptilia Vaskii"" sur le Terrain.",8.0,Ténèbres,2600,0,0
Vassal des Protecteurs du Tombeau,Monstre,[ Magicien / Effet ],,Les Dommages de Combat que cette carte inflige à votre adversaire sont traités comme des dommages d'effet à la place.,3.0,Ténèbres,700,500,"0,5"
Vecteur Peur Archdémon,Monstre,[ Cyberse / Lien / Effet ],,"2+ monstres Cyberse
 Lorsque cette carte détruit un monstre de l'adversaire au combat et l'envoie au Cimetière : vous pouvez Sacrifier 1 monstre pointé par cette carte ; Invoquez Spécialement le monstre détruit dans une zone pointée par cette carte. Si vous Invoquez Spécialement sur le Terrain de votre adversaire par cet effet, cette carte peut faire une seconde attaque durant cette Battle Phase (même si votre adversaire gagne le contrôle du monstre Invoqué Spécialement).",13.0,Ténèbres,2400,LINK-3,3
"Vector Pendule, le Dracosseigneur",Monstre,[ Dragon / Pendule ],,"Pendule : 3
 Annulez tous les effets de carte dans les Zones Pendule de votre adversaire.
 ----------------------------------------------------------------------------------------------------------------
 ""Ce Seigneur envahit tout un monde avec son année de Dracodemons, convertissant toute forme de vie en de terribles sbires grâce à son Alchémie Dragon. La source de son pouvoir est non identifiée et probablement extra-dimensionnelle.""",4.0,Ténèbres,1850,0,0
Véhicolonne Amphibie Ambuleine,Monstre,[ Machine / Lien / Effet ],,"2+ Monstres à Effet
 Gagne 200 ATK pour chaque Monstre Lien dans les Cimetières. Vous ne pouvez utiliser chacun des effets suivants de ""Véhicolonne Amphibie Ambuleine"" qu'une fois par tour.
 ?Si cette carte est détruite : vous pouvez cibler 1 monstre de min. Link-3 dans l'un des Cimetières ; Invoquez-le Spécialement.
 ?Si un ou plusieurs monstres de min. Link-3 sur le Terrain sont détruits au combat ou par un effet de carte tant que cette carte est dans votre Cimetière : vous pouvez bannir cette carte depuis votre Cimetière ; détruisez 1 carte sur le Terrain.",13.0,Feu,2600,LINK-4,"0,35"
Veilleur de la Magie du Dragon,Monstre,[ Dragon / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez défausser 1 carte ; ajoutez 1 Carte Magie Normale ""Polymérisation"" ou Carte Magie Normale ""Fusion"" depuis votre Deck à votre main. Vous pouvez révéler 1 Monstre Fusion dans votre Extra Deck ; Invoquez Spécialement 1 des Matériels Fusion dont le nom est spécifiquement listé sur le monstre depuis votre Cimetière, en Position de Défense face verso. Vous ne pouvez utiliser chaque effet de ""Veilleur de la Magie du Dragon"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Fusion exclus) depuis l'Extra Deck, le tour où vous activez un effet de cette carte.",4.0,Ténèbres,1800,1300,"0,35"
Veilleur du Sanctuaire,Monstre,[ Effet / Dragon ],,"Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un monstre de Type Dragon. Tant que cette carte est dans votre main ou Cimetière, si un monstre de Type Dragon face recto sur le Terrain (""Veilleur du Sanctuaire"" exclu) est envoyé au Cimetière par un effet de carte ou parce qu'il a été détruit au combat : vous pouvez Invoquer Spécialement cette carte, puis, si le monstre envoyé au Cimetière est un Monstre Normal, vous pouvez ajouter 1 Monstre Normal de Type Dragon depuis votre Cimetière à votre main. Vous ne pouvez utiliser cet effet de ""Veilleur du Sanctuaire"" qu'une fois par tour.",4.0,Ténèbres,0,2100,"0,2"
Velo Préhistorique,Monstre,[ Dinosaure / Effet ],,"Lorsque cette carte en Position d'Attaque face recto attaque ou est attaquée, et est détruite au combat et envoyée au Cimetière, vous pouvez Invoquer Spécialement 1 monstre ""Préhistorique "" avec 1700 points d'ATK ou moins depuis votre Deck.",4.0,Feu,1700,1000,0
Velociraptor Noir,Monstre,[ Dinosaure / Effet ],,"Si cette carte attaque un monstre de votre adversaire, durant la Damage Step uniquement, cette carte gagne 400 ATK. Si cette carte est attaquée par un monstre de votre adversaire, durant la Damage Step uniquement, cette carte perd 400 ATK.",4.0,Terre,1800,300,0
Vélociraptor Préhistorique,Monstre,[ Dinosaure / Synchro / Effet ],,"1 Syntoniseur + 1 monstre non Syntoniseur de Type Dinosaure ou plus
 
 L'ATK et la DEF de cette carte deviennent égales à la somme des ATK d'origine des Monstres-Matériels de Synchro utilisés pour son Invocation Synchro. Si cette carte attaque un monstre en Position de Défense face verso, vous pouvez le détruire immédiatement par l'effet de cette carte sans le retourner face recto, ni effectuer le calcul des dommages.",5.0,Feu,?,?,0
Vengeur Enfernité,Monstre,[ Démon / Syntoniseur / Effet ],,"Lorsqu'un monstre que vous contrôlez, excepté ""Vengeur Enfernité"", est détruit au combat avec un monstre de l'adversaire et envoyé au Cimetière, si vous n'avez pas de carte dans votre main, vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière. Dans ce cas, le Niveau de cette carte est égal au Niveau du monstre détruit.",1.0,Ténèbres,0,0,0
Vengeur Xyz,Monstre,[ Démon / Effet ],,"monstre XYZ. Lorsque cette carte est détruite au combat avec un monstre XYZ et envoyée au Cimetière : activez 1 de ces effets, selon le rang du Monstre XYZ qui a détruit cette carte :
 
 • Max. Rang 3 : Votre adversaire envoie 1 carte depuis son Extra Deck au Cimetière
 • Rang 4 : Choisissez 1 carte dans l'Extra Deck de votre adversaire et envoyez-la au Cimetière.
 • Min. Rang 5 : Votre adversaire envoie autant de cartes depuis son Extra Deck au cimetière que possible, mais pas plus que le Rang du monstre XYZ",4.0,Ténèbres,1800,700,"0,25"
"Venin Affamé, Roi Suprême du Dragon",Monstre,[ Dragon / Fusion / Effet ],,"2 Monstres Pendule TÉNÈBRES
 Uniquement Invocable par Fusion, ou Spécialement en Sacrifiant les cartes ci-dessus que vous contrôlez (auquel cas vous n'utilisez pas ""Polymérisation""). Une fois par tour : vous pouvez cibler 1 autre monstre sur le Terrain ou dans le Cimetière ; jusqu'à la End Phase, le nom de cette carte devient le nom d'origine du monstre et remplacez cet effet avec les effets d'origine du monstre, et aussi, le reste de ce tour, si votre monstre attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",8.0,Ténèbres,2800,2000,1
"Venominaga, Déesse des Serpents Venimeux",Monstre,[ Reptile / Effet ],,"Ni Invocable Normalement ni Posable. Doit d'abord être Invoquée Spécialement avec ""Avènement du Dieu Serpent"" et non Invocable Spécialement autrement, sauf par son propre effet. Cette carte gagne 500 ATK pour chaque monstre de Type Reptile dans votre Cimetière. Cette carte ne peut être ni ciblée ni affectée par des effets de Magie/Piège et des effets d'autres Monstres à Effet. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre monstre de Type Reptile depuis votre Cimetière ; Invoquez Spécialement cette carte. Lorsque cette carte inflige des dommages de combat à votre adversaire : placez 1 Compteur Hyper-Venin sur elle. Lorsque 3 Compteurs Hyper-Venin sont placés sur cette carte, vous gagnez le Duel.",10.0,Ténèbres,0,0,"0,35"
"Vennu, Oiseau Lumineux de la Divinité",Monstre,[ Elfe / Rituel / Effet ],,"Vous pouvez Invoquer Rituellement cette carte avec ""Cri Primitif"". Une fois par tour : vous pouvez révéler 1 monstre dans votre main, puis ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, le Niveau de la cible devient égal au Niveau que le monstre révélé avait. Une fois par tour, si un autre monstre est Sacrifié depuis votre main ou Terrain (sauf durant la Damage Step) : vous pouvez cibler 1 monstre dans votre Cimetière ; ajoutez-le à votre main.",8.0,Lumière,2800,2000,"0,75"
"Venominon, Roi des Serpents Venimeux",Monstre,[ Reptile / Effet ],,"Non Invocable Spécialement par l'effet d'un autre Monstre à Effet. Cette carte n'est pas affectée par ""Marais Venin"". Cette carte gagne 500 ATK pour chaque monstre de Type Reptile dans votre Cimetière. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre monstre de Type Reptile depuis votre Cimetière ; Invoquez Spécialement cette carte.",8.0,Ténèbres,0,0,"0,5"
"Vent Divin, HEROS Masqué",Monstre,[ Guerrier / Fusion / Effet ],,"Uniquement Invocable Spécialement avec ""Changement de Masque"" et non Invocable Spécialement autrement. Non destructible au combat. Votre adversaire ne peut attaquer qu'avec 1 monstre durant chaque Battle Phase, Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : vous pouvez piocher 1 carte",8.0,Vent,2700,1900,"0,75"
Vent Dogra,Monstre,[ Insecte / Effet ],,Vous pouvez payer 3000 Life Points pour envoyer 1 monstre depuis votre Extra Deck au Cimetière.,2.0,Terre,650,600,"0,25"
Vent Stellaire Wolfrayet,Monstre,[ Bête / Synchro / Effet ],,"1 Syntoniseur + 1+ monstre non-Syntoniseur
 Vous ne pouvez contrôler qu'1 ""Vent Stellaire Wolfrayet"". Gagne 300 ATK chaque fois que l'effet d'un autre monstre est activé, tant que l'ATK de cette carte est inférieure à 4000. Une fois par tour, si l'ATK de cette carte est min. 4000 (Effet Rapide) : vous pouvez mélanger cette carte ainsi que tous les monstres contrôlés par votre adversaire dans le Deck.",9.0,Vent,2500,0,"0,25"
"Ventdra, Le Guerrier Eveille",Monstre,[ Guerrier / Effet ],,Cette carte peut attaquer directement votre adversaire. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez cibler 1 Monstre Normal de Type Dragon/Guerrier/Magicien dans votre Cimetière ; ajoutez-le à votre main.,5.0,Vent,2000,800,0
Ventilateur d'Energie Genex,Monstre,[ Magicien / Effet ],,"Lorsque cette carte est Invoquée Spécialement, vous pouvez ajouter 1 monstre ""Genex"" TÉNÈBRES depuis votre Deck à votre main.",4.0,Vent,1600,1300,1
Vénus Splendide,Monstre,[ Elfe / Effet ],,Tous les monstres (monstres de Type Elfe exclus) perdent 500 ATK/DEF. L'activation et les effets de Cartes Magie/Piège que vous contrôlez ne peuvent pas être annulés.,8.0,Lumière,2800,2400,"0,5"
"Vénus, Agent de la Destruction",Monstre,[ Elfe / Syntoniseur / Effet ],,"Vous pouvez bannir 1 ""Vénus, Agent de la Création"" depuis votre Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous pouvez payer des LP en multiples de 500, puis pour chaque 500 LP payés, ciblez 1 de vos ""Sphère Mystique Lumineuse"" qui est banni ou dans votre Cimetière ; Invoquez-les Spécialement, mais placez-les au-dessous du Deck lorsqu'ils quittent le Terrain. Vous ne pouvez utiliser qu'1 effet de ""Vénus, Agent de la Destruction"" par tour, et uniquement une fois le tour.",3.0,Ténèbres,0,1600,"0,25"
"Vénus, Agent de la Création",Monstre,[ Elfe / Effet ],,Payez 500 Life Points pour sélectionner 1 'Sphère Mystique Lumineuse' de votre main ou de votre Deck et en faire l'Invocation Spéciale sur votre Terrain.,4.0,Lumière,1600,0,"0,75"
Venviolent le Roi Errant,Monstre,[ Démon / Effet ],,"Si vous contrôlez un Syntoniseur de Type Démon avec max. 1500 ATK, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si vous tentez ça, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro exclus) depuis l'Extra Deck le reste de ce tour. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 Syntoniseur de Type Démon avec max. 1500 ATK depuis votre Deck à votre main.",4.0,Ténèbres,1700,1300,"0,75"
Ver - Balthus,Monstre,[ Reptile / Effet ],,Lorsque cette carte est Invoquée Normalement : ciblez 1 monstre en Position de Défense ; changez la cible en Position d'Attaque face recto.,3.0,Lumière,1400,1500,"0,15"
Ver - Apocalypse,Monstre,[ Reptile / Effet ],,FLIP : Ciblez 1 Carte Magie/piège sur le Terrain ; détruisez la cible.,1.0,Lumière,300,200,"0,2"
Ver - Caltaros,Monstre,[ Reptile / Effet ],,"FLIP : Ajoutez 1 monstre ""Ver"" de Type Reptile de Niveau 4 ou moins depuis votre Deck à votre main.",4.0,Lumière,1200,500,"0,2"
Ver - Dimikles,Monstre,[ Reptile / Effet ],,FLIP : Cette carte gagne 300 points d'ATK et de DEF.,4.0,Lumière,1700,1400,"0,2"
Ver - Erokin,Monstre,[ Reptile / Effet ],,"Cette carte ne peut pas être Invoquée Spécialement. Une fois par tour, sélectionnez 1 monstre ""Ver"" de Type Reptile puis changez-le en Position de Défense face verso.",6.0,Lumière,2400,1200,"0,7"
Ver - Falco,Monstre,[ Reptile / Effet ],,"FLIP : Changez tous les monstres ""Ver"" de Type Reptile face recto que vous contrôlez en Position de Défense face verso, excepté cette carte.",2.0,Lumière,500,800,"0,3"
Ver - Galactique,Monstre,[ Insecte / Effet ],,"Lorsque cette carte est Invoquée Normalement tant que vous ne contrôlez aucun autre monstre : vous pouvez Invoquer Spécialement 1 Monstre à Effet ""Galactique"" de max. Niveau 3 depuis votre Deck, mais il a ses effets annulés.",3.0,Lumière,1200,1000,"0,25"
Ver - Gurus,Monstre,[ Reptile / Effet ],,"Chaque fois qu'un monstre en Position de Défense face verso est retourné, placez 1 Compteur Ver sur cette carte. Cette carte gagne 300 points d'ATK pour chaque Compteur Ver sur elle.",4.0,Lumière,1500,300,"0,3"
Ver - Hope,Monstre,[ Reptile / Effet ],,"FLIP : Lorsque cette carte est retournée face recto par l'attaque d'un monstre de l'adversaire, piochez 1 carte. Lorsque cette carte est envoyée au Cimetière, envoyez 1 carte depuis votre main au Cimetière.",1.0,Lumière,800,1500,"0,4"
Ver - Illidan,Monstre,[ Reptile / Effet ],,"Chaque fois qu'une carte est Posée sur votre Terrain, placez 1 Compteur Ver sur cette carte. Vous pouvez retirer 2 Compteurs Vers de cette carte pour sélectionner 1 carte contrôlée par votre adversaire et la détruire.",5.0,Lumière,2000,1800,"0,5"
Ver - Jetelikpse,Monstre,[ Reptile / Effet ],,"FLIP : Lorsque cette carte est détruite et envoyée au Cimetière ce tour, Invoquez-la Spécialement en Position de Défense.",3.0,Lumière,1200,0,"0,25"
Ver - King,Monstre,[ Reptile / Effet ],,"Cette carte peut être Invoquée par Sacrifice en Position d'Attaque face recto en Sacrifiant 1 monstre ""Ver"" de Type Reptile. Vous pouvez Sacrifier 1 monstre ""Ver"" de Type Reptile pour sélectionner 1 carte contrôlée par votre adversaire et la détruire.",8.0,Lumière,2700,1100,0
Ver - Lynx,Monstre,[ Reptile / Effet ],,"FLIP : Durant chaque End Phase, si cette carte est face recto, piochez 1 carte.",2.0,Lumière,300,1000,0
Ver - Millidith,Monstre,[ Reptile / Effet ],,FLIP : Vous pouvez équiper cette carte à un monstre contrôlé par votre adversaire en tant que Carte d'Equipement. Infligez 400 points de dommages au contrôleur du monstre équipé durant chaque Stantby Phase.,4.0,Lumière,400,1600,1
Ver - Noble,Monstre,[ Reptile / Effet ],,"FLIP : Si cette carte est retournée face recto par l'attaque d'un monstre de l'adversaire, infligez des dommages à votre adversaire égaux à la moitié de l'ATK du monstre attaquant.",6.0,Lumière,1500,2400,0
Ver - Opéra,Monstre,[ Reptile / Effet ],,"FLIP : Tous les monstres face recto sur le Terrain perdent 500 points d'ATK, excepté les monstres ""Ver"" de Type Reptile.",2.0,Lumière,400,800,1
Ver - Piratage,Monstre,[ Machine / Effet ],,"Si votre adversaire ne contrôle aucun monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",1.0,Ténèbres,400,0,"0,25"
Ver - Prince,Monstre,[ Reptile / Effet ],,"Si cette carte détruit un monstre de l'adversaire au combat, vous pouvez ajouter 1 monstre ""Ver"" de Type Reptile depuis votre Deck à votre main. Détruisez cette carte durant la End Phase si vous ne contrôlez pas un autre monstre ""Ver"" de Type Reptile.",6.0,Lumière,2200,400,0
Ver - Queen,Monstre,[ Reptile / Effet ],,"Vous pouvez Invoquer par Sacrifice cette carte en Position d'Attaque face recto en Sacrifiant 1 monstre ""Ver"" de Type Reptile. Une fois par tour, vous pouvez Sacrifier 1 monstre ""Ver"" de Type Reptile pour Invoquer Spécialement 1 monstre ""Ver"" de Type Reptile depuis votre Deck avec un Niveau inférieur ou égal au Niveau du monstre Sacrifié.",7.0,Lumière,2700,1100,0
Ver - Rakuyeh,Monstre,[ Reptile / Effet ],,"Cette carte peut seulement déclarer une attaque le tour où elle a été retournée face recto. Si cette carte attaque, elle est changée en Position de Défense face verso à la fin de la Battle Phase.",4.0,Lumière,2100,1200,"0,4"
Ver - Solide,Monstre,[ Reptile / Effet ],,"Cette carte gagne 100 points de DEF pour chaque monstre ""Ver"" de Type Reptile dans votre Cimetière. Si votre adversaire subit des dommages de combat en attaquant cette carte, sélectionnez 1 Carte Magie ou Piège contrôlée par votre adversaire à la fin de la Damage Step, et détruisez-la.",4.0,Lumière,1000,1600,0
Ver - Tentacules,Monstre,[ Reptile / Effet ],,"Une fois par tour, vous pouvez bannir 1 monstre ""Ver"" de Type Reptile de votre Cimetière. Cette carte peut attaquer deux fois durant la Battle Phase de ce tour.",4.0,Lumière,1700,700,0
Ver - Ugly,Monstre,[ Reptile / Effet ],,"Lorsque vous Invoquez par Sacrifice un monstre ""Ver"" de Type Reptile en Sacrifiant cette carte, vous pouvez Invoquer Spécialement cette carte depuis le Cimetière en Position d'Attaque face recto sur le Terrain de votre adversaire.",1.0,Lumière,100,100,"1,5"
Ver - Victoire,Monstre,[ Reptile / Effet ],,"FLIP : Détruisez tous les monstres face recto sur le Terrain excepté les monstres ""Ver"" de Type Reptile. Cette carte gagne 500 points d'ATK pour chaque monstre ""Ver"" de Type Reptile dans votre Cimetière.",7.0,Lumière,0,2500,0
Ver - Warlord,Monstre,[ Reptile / Effet ],,"Cette carte ne peut pas Invoquée Spécialement. Annulez les effets de Monstres à Effet détruits par cette carte au Combat. Si cette carte détruit un monstre de l'adversaire au combat, elle peut attaquer une deuxième fois d'affilée.",6.0,Terre,2350,1800,0
Ver - Xex,Monstre,[ Reptile / Effet ],,"Lorsque cette carte est Invoquée Normalement, vous pouvez envoyer 1 monstre ""Ver"" de Type Reptile depuis votre Deck au Cimetière. Si vous contrôlez un monstre ""Ver - Yagan"" face recto, cette carte ne peut pas être détruite au combat.",4.0,Lumière,1800,1000,"2,5"
Ver - Yagan,Monstre,[ Reptile / Effet ],,"Si le seul monstre que vous contrôlez est ""Ver - Xex"", vous pouvez Invoquer Spécialement cette carte en Position de Défense face verso depuis le Cimetière. Si vous le faites, bannissez-la lorsqu'elle est retirée du Terrain. Lorsque cette carte est retournée face recto, sélectionnez 1 monstre face recto contrôlé par votre adversaire et renvoyez-la dans la main de son propriétaire.",4.0,Lumière,1000,1800,"2,5"
Ver - Zéro,Monstre,[ Reptile / Fusion / Effet ],,"2 monstres ""Ver"" de Type Reptile ou plus
 
 Pour chaque Monstre-Matériel de Fusion de nom différent utilisé pour l'Invocation Fusion de cette carte, elle gagne 500 points d'ATK et les effets suivants :
 •2+ : Une fois par tour, vous pouvez sélectionner 1 monstre de Type Reptile dans votre Cimetière et l'Invoquer Spécialement en Position de Défense face verso.
 •4+ : Vous pouvez bannir 1 monstre de Type reptile depuis votre Cimetière pour envoyer 1 monstre sur le Terrain au Cimetière.
 •6+ : Une fois par tour, vous pouvez piocher 1 carte.",10.0,Lumière,?,0,0
Ver Bouclier,Monstre,[ Insecte / Effet ],,"Lorsque cette carte est Invoquée, elle est changée en Position de Défense. Ensuite, envoyez 1 carte depuis le haut du Deck de votre adversaire au Cimetière pour chaque monstre de Type Insecte que vous contrôlez.",4.0,Terre,800,2000,0
Ver de Donjon,Monstre,[ Insecte / Normal ],,"""Caché sous le plancher du labyrinthe, ce ver avale tout ce qui passe au-dessus de lui.""",5.0,Terre,1800,1500,0
Ver de Ferraille,Monstre,[ Insecte / Syntoniseur / Effet ],,"Cette carte peut attaquer directement votre adversaire. Si cette carte attaque, elle est détruite à la fin de la Battle Phase. Si cette carte est détruite par l'effet d'une carte ""Ferraille"" et envoyée au Cimetière, vous pouvez sélectionner 1 monstre ""Ferraille"" dans votre Cimetière, excepté ""Ver de Ferraille"", et l'ajouter à votre main.",2.0,Terre,500,100,"0,8"
Vera la Déesse Vernusylphe,Monstre,[ Elfe / Effet ],,"Une fois par tour, lorsqu'un effet de monstre activé par votre adversaire est résolu, si vous contrôlez min. 5 monstres TERRE, vous pouvez annuler l'effet, et si vous le faites, détruisez la carte. Vous ne pouvez utiliser chacun des effets suivants de ""Vera la Déesse Vernusylphe"" qu'une fois par tour. Vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; prenez-en le contrôle, et si vous le faites, il devient TERRE. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez cibler 1 monstre TERRE dans votre Cimetière ; Invoquez-le Spécialement.",8.0,Terre,2400,3000,8
"Verdant, Wynn la Charmeuse de Vent",Monstre,[ Magicien / Lien / Effet ],,"2 monstres (un monstre VENT inclus)
 (Cette carte est toujours traitée comme une carte ""Familier Possédé"".)
 Vous pouvez cibler 1 monstre VENT dans le Cimetière de votre adversaire ; Invoquez-le Spécialement dans votre zone pointée par cette carte. Si cette carte Invoquée par Lien est détruite au combat, ou détruite par un effet de carte de l'adversaire tant qu'elle est dans la Zone Monstre de son propriétaire : vous pouvez ajouter 1 monstre VENT avec max. 1500 DEF depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Verdant, Wynn la Charmeuse de Vent"" qu'une fois par tour.",13.0,Vent,1850,LINK-2,"0,75"
Vernusylphe des Champs en Fleurs,Monstre,[ Elfe / Effet ],,"Votre adversaire ne peut pas cibler de monstres ""Vernusylphe"" que vous contrôlez avec des effets de carte. Vous pouvez défausser cette carte, et 1 monstre ou 1 carte ""Vernusylphe"" ; ajoutez 1 monstre TERRE (""Vernusylphe des Champs en Fleurs"" exclu) depuis votre Cimetière à votre main, puis vous pouvez Invoquer Spécialement 1 monstre TERRE depuis votre Cimetière, et aussi, vous ne pouvez pas activer d'effets de monstre non-TERRE le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Vernusylphe des Champs en Fleurs"" qu'une fois par tour.",3.0,Terre,600,1600,"0,35"
